Semester,Instructor,Department,CourseNumber,CourseType,CourseName,CourseDivision,ActiveFlag,LabFee,Credits,CourseDescription
FA-23,"Capers, Colin",HE,1010,I,Human Ecology Core Course,HE,TRUE,30,1,"Human Ecology is the interdisciplinary study of the relationships between humans and their natural and cultural environments.  The purpose of this course is to build a community of learners that explores the question of human ecology from the perspectives of the arts, humanities and sciences, both in and outside the classroom.  By the end of the course students should be familiar with how differently these three broad areas ask questions, pose solutions, and become inextricably intertwined when theoretical ideas are put into practice.  In the end, we want students to be better prepared to create their own human ecology degree through a more in-depth exploration of the courses offered at College of the Atlantic.  We will approach this central goal through a series of directed readings and activities.

Level:  Introductory.  Lab fee: $30.  Meets the following degree requirements: HE"
FA-23,"Cass, Blake",HS,4102,MA,Methods of Tutoring Writing Across the Curriculum,W,TRUE,0,1,"The roles and responsibilities of a writing tutor are evershifting. As writing studies scholar Toni-Lee Capossela tells us, a tutor will at various times be “a reader, a respondent, a questioner, a critic, a listener, a friend, a colleague, a collaborator, or a guide.” By presenting a range of writing center theories and research, this course will give students theoretical knowledge and practical tutoring strategies that will enable them to make informed choices when working with developing writers across different disciplines and conventions. Topics include negotiating the priorities of a tutoring session, differentiating between and responding to the needs of global and small-scale revision, motivational scaffolding, and understanding the often recursive nature of the writing process. Additionally, students will be exposed to active learning strategies and concepts such as cognitive load theory, the zone of proximal development, embodied cognition, and the affective domain. In the first part of the term, students will put their practical and theoretical knowledge into use by conducting one-on-one tutoring sessions with their classmates. During the second half of the term, students will collaborate with experienced tutors, and by week 8 they will begin to tutor on their own. Students will write two major essays–the first a literacy narrative, the second an expository essay on a writing center topic of their choosing.

Level: Intermediate/Advanced.  Prerequisites: Students need to have a commitment to writing and a demonstrated ability to write successfully for college classes. They don’t need to have previously taken a writing program-approved writing course, though.  Class limit: 15.  Lab fee: None. Meets the following degree requirements: W."
FA-23,"Cline, Ken",HS,1032,I,Acadia: Exploring the National Park Idea,HS,TRUE,50,1,"Using Acadia National Park as a case study, this course will explore the various facets of ""the national park idea"" and what it means for Americans in terms of history and identity.  Through direct experiences in one of the ""crown jewels"" of the park system, the class will examine the historical, ecological, cultural, social, legal, economic, and spiritual context in which national parks are formed and continue to exist in the 21st century.   We will work with National Park Service professionals to look at various aspects of park management and day-to-day challenges of implementing the ""national park idea."" Through weekly field trips, journaling, service learning opportunities, and projects, we will be immersed in the management and experience of Acadia.  We will explore, through reading and writing, the broader themes of wilderness preservation, attitudes toward nature, the history of conservation, and the commodification of nature.  This experiential class is specifically geared toward first-year students and they will be given preference for enrollment. Assignments will include journal writing, short exercises, a group project/service learning opportunity, short presentations, and papers. 
 
Level: Introductory. Prerequisites: none. Class limit: 20. Lab fee: $40. Meets the following degree requirements: HS"
FA-23,"Cline, Ken",HS,5020,A,Advanced International Environmental Law Seminar,HS,TRUE,25,1,"This course is designed to provide an overview of the use of international law in solving transnational environmental problems and shaping international behavior.  We examine, as background, the nature and limitations of international law as a force for change. The course will then explore customary law, the relationship between soft and hard law, enforcement of international law, implementation mechanisms, and the effectiveness of multilateral environmental agreements. Special attention is given to existing international environmental law frameworks addressing climate change, Arctic and Antarctic development, ozone depletion, biological diversity, forest loss, export of toxic chemicals, and the host of issues raised by the 1992 United Nations Conference on the Environment and Development and subsequent environmental fora.  Students will also consider the interface between international environmental law and other important international forces such as the Bretton Woods institutions, human rights frameworks, and international development entities.  Students will be evaluated on the quality of their classroom comments and several analytical problem sets given during the term.  Students will also be asked to complete a major research project examining the effectiveness of a treaty or a proposed international environmental legal arrangement.  

Level:  Advanced.  Prerequisites:  Environmental Law and Policy or Global Environmental Politics, and Signature of Instructor; Sophomore or higher college level.   Class limit: 10.  Lab fee: $10.  Meets the following degree requirements: HS"
FA-23,"Clinger, Catherine",AD,1041,I,Art Since 1900: Harmony and Conflict,AD HY,TRUE,50,2,"The artworks of Pablo Picasso and Hannah Höch; both the well-known and lesser-known artist made paintings and sculptures that facilitate our understanding of how people experienced the twentieth century. Cubism, Surrealism, Expressionism, Constructivism, Arte Povera, Social Realism, among others — these artist movements were initiated through group declarations of common aesthetic purpose. Variance within artist conventions and procedures accelerated during moments of unrest and social progression thus providing a range of counter-narratives to canonical histories of the period. The last quarter of the twentieth century was one in which new discourses informed creative production and art mono-cultures gave way to intersectional experience. Theories advanced by Edward Said, Frantz Fanon, Linda Nochlin, Griselda Pollock, and Judith Butler offered new networks with which to understand how art operates as both a reflection and critique of culture. This art history survey looks at how different artists engaged with theories of the unconscious, radical political programs, social upheaval, gender politics, and scientific advances; and, how diverse receptions of human experience were expressed through artistic production. Anxiety, joy, curiosity, and activist predilection combine to formulate a rich amalgam of fresh and challenging visions of the world. Students will be evaluated based on class participation, reading notes, a descriptive analysis, and final essay.

Level: Introductory. Prerequisites: none. Lab fee: $50. Class Limit: 18.  Meets the following degree requirements: AD, HY"
FA-23,"Clinger, Catherine",AD,5032,A,Advanced Studio Printmaking,ADS,TRUE,200,1,"This art studio course is a continuation of the introductory course Studio Printmaking. A print mirrors the surface of its matrix and presents a reflection of the physical and/or immaterial realms of objects and ideas. Representing concepts clearly in any medium requires an artist to engage in thoughtful collaboration with materials in order to realize the potential of form as a means of expression. This advanced studio course will explore ways to address this aesthetic challenge through printmaking by experimenting with conventional and non-traditional ways of creating a range of matrices. Students will acquire skills as printmakers with an emphasis on multiple-plate, collagraph, and other advanced techniques. Students will develop a deeper understanding of the history of prints; how they have functioned to communicate, document, and transmit information through images on paper – engaging with more complex discourses of representation. Students will be evaluated on their projects, participation in critiques, level of engagement with materials, ability to work in a collaborative studio, and final project. 

Level: Advanced.  Prerequisites: Studio Printmaking and at least one drawing class; permission of instructor.  Class limit: 5.  Lab fee: $200. Meets the following degree requirements: ADS"
FA-23,"Colbert, Dru",HE,1010,I,Human Ecology Core Course,HE,TRUE,30,1,"Human Ecology is the interdisciplinary study of the relationships between humans and their natural and cultural environments.  The purpose of this course is to build a community of learners that explores the question of human ecology from the perspectives of the arts, humanities and sciences, both in and outside the classroom.  By the end of the course students should be familiar with how differently these three broad areas ask questions, pose solutions, and become inextricably intertwined when theoretical ideas are put into practice.  In the end, we want students to be better prepared to create their own human ecology degree through a more in-depth exploration of the courses offered at College of the Atlantic.  We will approach this central goal through a series of directed readings and activities.

Level:  Introductory.  Lab fee: $30.  Meets the following degree requirements: HE"
FA-23,"Collum, Kourtney",HS,2087,IM,Transforming Food Systems,HS,TRUE,0,1,"This course explores possibilities for transformative change across local and global food systems.  The course centers on the questions: What would it take to ensure access to healthy, safe, affordable, culturally appropriate foods for all people? The first part of the course critically examines capitalist food systems with particular attention to the ways culture, politics, and economics shape our interactions with food. Through readings and exercises, we explore issues such as nutrition, worker safety, contested agricultural and land use policies, hunger, and environmental and community health. The second part of the course examines case studies of transformative food movements around the world, from the Zero Hunger programs in Belo Horizonte, Brazil, to La Via Campesina global campaign for agrarian reform. We focus particularly on food sovereignty and agroecology movements. The final third of the course focuses on transformative work in Maine and at COA. Students take multiple field trips to participate in local movements and to learn about their philosophies, objectives, and activities. By the end of the course, students will be able to analyze how power shapes food systems and articulate a theory of change for addressing a food systems problem of their choice. Students are evaluated based on participation in class discussions and field trips, a series of reflection papers, and a final project including a paper and an audio-visual presentation.

Level: Introductory/Intermediate.  Prerequisites: None.  Class limit: 20.  Lab fee: none.  Meets the following degree requirements:  HS"
FA-23,"Cox, Gray",HS,3121,M,Current Trends in AI: Problems and Projects,HS,TRUE,35,1,"This course explores the nature of current developments in artificial intelligence and how they present challenges and opportunities in ways they are transforming the world. We will adopt a broad definition of AI that includes everything from simple thermostats to the most advanced machine learning systems and we will look at ways these are altering life processes in the natural world and institutions throughout society. 
 
Course goals are: 1.) to advance understandings of different programming principles, research and development strategies and underlying philosophical assumptions guiding development in such technologies; 2.) to develop abilities to use interdisciplinary[, problem centered approaches to understand the distinctions between complicated and wicked problems associated with rapid technological change in this area and key approaches to dealing with them; 2.) to cultivate skills in working collaboratively on problem-centered studies as well as programming projects that deal with AI in areas of student interest, 4.) to develop meta-cognitive abilities to learn these kinds of material in groups as well as on your own.  
       
A major part of the course for each student will be a term project which can be pursued either individually or collaboratively. It may take a variety of forms including, for instance: 1.) a ?F?utures ?S?tudies investigation using methods of historical and/or social science research culminating in a report on some emerging, AI-related social or environmental concern;  2.) a computer programming project that solves a practical problem, is conducive to artistic expression, performs scientific analysis of quantitative data, or demonstrates an established or experimental feature of an ML or otherwise AI system; 3.)  a philosophical and/or theoretical critical analysis of underlying concepts, values or assumptions that are at stake in the emerging AI technologies. 
       
Readings will include some classic texts in AI theory, philosophy, and futures studies as well as selections from standard texts on AI programming. We will also use podcasts, films, and other media to pursue key topics and trends. There will be a series of short programming activities to study basic principles and try modeling aspects of more complicated and/or complex systems. These will be done, at least initially, in block coding which will be accessible to students without any previous programming experience and which allows people to see how this translates into other languages such as C or Python.[ We will examine the ways in which they can be coded in Python and students familiar with that or other languages will be able to pursue homework and final project work in whatever language they may prefer. We will also explore methods of prompt engineering for working with emerging systems that have dialogical interfaces. 
 
The course will include two weekly class sessions as well as a lab. Class sessions will vary in format from extended discussion of texts and problems to supplementary lecture, visiting speaker, collaborative coding activities and extended project work. The class as a group will develop at least one major hackathon style project as a way of exploring key issues and developing key skills.  
       
Evaluation will be based on the extent to which students demonstrate in homework, class participation and individual projects that they have advanced in each of the four main goals for the course. 

This class will be especially well suited for students who want to continue computer assisted research, art work, coding or other projects they previously explored in other classes.

Level: Intermediate.  Prerequisites: None.  Class limit: 15.  Lab fee: $35.  Meets the following degree requirements: HS."
FA-23,"Donovan, Martha",HS,2076,IM,"Life Stories: Memory, Family, and Place",,TRUE,20,1,"One of the deepest human instincts is to tell our life stories, to figure out who we are. This course will use a workshop approach with a particular focus on memoir writing rooted in an exploration of family and place. We will study the writing process and matters of craft by reading and responding to memoirs by contemporary writers (e.g., Terry Tempest Williams’ When Women Were Birds: Fifty-Four Variations on Voice), a practical guide to memoir writing (Judith Barrington's Writing the Memoir), and essays on memoir and memory (e.g., Patricia Hampl’s I Could Tell You Stories: Sojourns in the Land of Memory). Class time will include discussion of readings, writing exercises designed to help students with matters of language and technique in their own writing, and group critiques of work-in-progress. Student work will be shared through a class reading and the production of a chapbook of one of their stories. Students will be evaluated on the effort and quality of their writing, their commitment to the writing process, their participation in peer review and workshops, a final portfolio of all their writing, and their class reading of finished work. 

Level: Introductory/Intermediate.  Prerequisites: None.  Class limit: 12.  Lab fee: $20. Meets the following degree requirements: None."
FA-23,"Downing , E. Saffronia",AD,5033,A,"Making Art: Effort, Resilience, Persistence",ADS,TRUE,80,1,"In this advanced art practicum and seminar, students will pursue the development of a body of art work or series of art works.  Through practice, critique, discussion, readings, and interactions with artists and those involved in supporting and presenting artists, students will gain a better understanding of art as an ongoing pursuit, beyond classes and assignments.  What does it take to maintain and fertilize the long-term project or a life's work?  How can a creative process be carried on, maintained and sustained?  The primary goal of this course is for each student to develop their art practice, better understand their creative processes, and show evidence of these developments.  This course is an excellent lead-up to a senior project in the arts. Students may work in any medium, but should already have the basic skills required for their chosen project(s)/body of work. This course requires significant dedication outside of class to make artworks. Students are expected to possess and/or extend their ability to be self-directed and motivated. Students will be evaluated on their progress towards their goals, and participation in discussions and critiques; students are encouraged to elect for a credit/no credit grade.

Level: Advanced.  Prerequisites: multiple previous art classes and permission of instructor.  Class limit: 12.  Lab fee: $80.  Meets the following degree requirements: ADS"
FA-23,"Downing , E. Saffronia",AD,1068,I,Introduction to Ceramics; Hand-Built-Pots,ADS,TRUE,95,1,"Hand-Built-Pots explores potentialities of form and function in contemporary ceramics. Through this intro-level handbuilding course, students will learn ceramic methods such as coil-building, slab construction, and press molding as they consider/create clay pots. Students in this course will take up vessel-making to explore storytelling, personal metaphor, and conceptual practice. Histories of the vessel will provide context for ceramic explorations, as artists such as Magdalene Odondo, Betty Woodman, and Toshiko Takaezu guide our conversations. Assignments include the production of a series of vessel-inspired artworks. Students will be evaluated based on their participation in class discussions and critiques, as well as their inventiveness and demonstrated effort in ceramic assignments.

Level: Introductory. Prerequisites: None.  Class limit: 12.  Lab fee: $95.  Meets the following degree requirements: ADS"
FA-23,"Feldman, David",ES,1026,I,Introduction to Chaos and Fractals,ES QR,TRUE,10,1,"This course presents an elementary introduction to chaos and fractals.  The main focus will be on using discrete dynamical systems to illustrate many of the key phenomena of chaotic dynamics: stable and unstable fixed and periodic points, deterministic chaos, bifurcations, and universality.  A central result of this study will be the realization that very simple non-linear equations can exhibit extremely complex behavior.  In particular, a simple deterministic system (i.e., physical system governed by simple, exact mathematical rules) can behave in a way that is unpredictable and random, (i.e., chaotic).  This result suggests that there are potentially far-reaching limits on the ability of science to predict certain phenomena.  Students in this class will also learn about fractals---self-similar geometric objects---including the Mandelbrot set and Julia sets.  We will also read about and discuss the development of the field of chaos.  In so doing, we will examine the nature of scientific communities, with a particular eye toward how changes in scientific outlooks occur.  Throughout the course, students will be encouraged to explore the relations between chaos, fractals, and other areas of study such as literature, art, and cultural studies.  Students who successfully complete this class should gain a quantitative and qualitative understanding of the basic ideas of chaos and fractals, a greater understanding of the cultural practice of science, and improved mathematical skills.  Evaluation will be based on class and lab participation, weekly problem sets several short writing assignments and a final project.

Level: Introductory.  Prerequisite: A high school algebra course or signature of instructor.  Lab fee: $10.  Class limit: 24.  Meets the following degree requirements: ES QR"
FA-23,"Feldman, David",ES,1056,I,Physics and Mathematics of Sustainable Energy,ES QR,TRUE,10,1,"In this course students will learn content and skills so that they can participate effectively in sustainable energy projects, make personal and community decisions that reduce carbon emissions, and work in ventures in sustainable energy.  Additionally, this course will be useful for those interested in energy and climate policy, either internationally or domestically.  We will begin with a quick overview of current CO2 emissions levels and look at how this is related to energy use.  We will then turn our attention to basic ideas from physics, including the definition of energy and the difference between energy and power.  The bulk of the course will consist of a survey of different forms of energy consumption and generation.  Throughout, we will quantitatively analyze technology from both a local and global point of view.  For example, we will calculate how much electricity one can generate on a rooftop, and we will also examine the role that solar PV could play toward the goal of eliminating fossil fuel use worldwide.  In a unit on financial mathematics, students will learn about the time value of money and several ways of quantifying investments, including ROI (return on investment) and IRR (internal rate of return).  Students will apply these financial tools in several short case studies.  If time permits, we may also cover negative emissions technologies and the electrical grid, including grid stability issues and the potential of smart-grid technology. This will be a demanding, introductory, class. Evaluation will be based on weekly problem sets. 

Level: Introductory.  Prerequisites: None.  Class Limit: 30.  Lab fee $10.00  Meets the following degree requirements: QR ES"
FA-23,"Friedlander, Jay",MD,3017,M,Human Ecology Lab in Ōsakikamijima,,TRUE,1200,3,"This course will be an interdisciplinary exploration of the relationship between the place and people of Osakikamijima island in Hiroshima prefecture, Japan. With a rich maritime heritage, local farms, traditional culture, and tight knit community this Japanese island has many parallels with Mount Desert Island. In addition, Osakikamijima's aging population, depopulation, and isolation, also mimics the opportunities and challenges faced by much of Japan. 

The class begins in Hiroshima, where students will explore the tragic modern history of Hiroshima, as well as the 1500-year-old Miyajima shrine, a UNESCO World Heritage Site. Once on Osakikamijima, we place local knowledge and experiences at the center of the course with students immersing themselves in activities to spark their curiosity in Japanese island life and the natural environment. Students will engage with Japanese culture and language by interacting with island residents. To support their connection to community members, students will study beginner-level Japanese throughout their time on Osakikamijima. These ties will be reinforced with local travel and explorations as well as community members participating as workshop instructors and classroom guest speakers. To build familiarity with the island and the intersection of the natural and human worlds, students will conduct terrestrial and aquatic microplastics research. Further interaction between students and the community will be promoted with weeklong “micro-internships” at a variety of food systems and other enterprises working in harmony with the natural environment. At the conclusion of the program, students will give short presentations to the community showing what has made the strongest impression on them during their time here, and how it could be used to draw in the people to help Osakikamijima survive.

Students will be evaluated based on their performance, participation and the quality of the assignments they produce over the course of the term including: class participation; a video montage; verbal presentations; reflection papers; and a final project presentation to the community.

Level: Intermediate.  Prerequisites: None. Class limit: 10. Lab fee: $1200. Meets the following prerequisites: None."
FA-23,"Graham, Carrie",ES,2037,IM,Introductory Entomology,ES,TRUE,35,1,"Nearly 80% of all described species belong to the class Insecta.  Due to their abundance, diversity and adaptability, insects are crucial components of terrestrial, freshwater and human-made ecosystems.  Students with a background in entomology can apply their knowledge of insects to many other fields, including botany, ecology, anthropology, epidemiology and medicine, agriculture, climate change, visual arts, history, and even the culinary arts.  This course will give students a sampling of entomological applications within these diverse fields.  Students will be given a solid introduction to insect biology, ecology, taxonomy and identification through lectures, lab sessions and field trips.  They will assemble their own insect collections and will learn to identify all Maine insect orders and many common insect families.  Lectures, field trips and readings will emphasize the important role of insects in human lives and our impact on the environment.  Students will be evaluated on their insect collections, performance on lab quizzes, participation and one paper with presentation.

Level: Introductory/Intermediate.  Prerequisites: Bio 1 or permission of instructor.  Class limit: 15.  Lab fee $35.  Meets the following degree requirements: ES"
FA-23,"Henderson, Jonathan",HE,1010,I,Human Ecology Core Course,HE,TRUE,30,1,"Human Ecology is the interdisciplinary study of the relationships between humans and their natural and cultural environments.  The purpose of this course is to build a community of learners that explores the question of human ecology from the perspectives of the arts, humanities and sciences, both in and outside the classroom.  By the end of the course students should be familiar with how differently these three broad areas ask questions, pose solutions, and become inextricably intertwined when theoretical ideas are put into practice.  In the end, we want students to be better prepared to create their own human ecology degree through a more in-depth exploration of the courses offered at College of the Atlantic.  We will approach this central goal through a series of directed readings and activities.

Level:  Introductory.  Lab fee: $30.  Meets the following degree requirements: HE"
FA-23,"Hess, Helen",ES,3020,M,Invertebrate Zoology,ES,TRUE,25,1,"This course is a phylogenetic survey of the major groups of animals without backbones.  These animals range in size from single cells to giant squids, and they include the vast majority of animals on earth.  Using text readings, assigned articles, and one afternoon per week of field/lab work, students gain an understanding of the classification, ecology, evolutionary relationships, and economic significance of this remarkably diverse collection of organisms.  Students are evaluated on participation, lab notebooks, and performance on weekly quizzes and two tests.

Level: Intermediate.  Prerequisites:  Biology: Form and Function and Biology: Cellular Processes of Life, or signature of instructor.  Offered every other year.  Class limit: 16.  Lab fee $25.  Meets the following degree requirements: ES"
