,tweet,Primary Emotion
129,"Largest methanol plant in the world proposed, stirs up SW Washington community. #NoDAPL #DefundKXL #divest #pipeline https://t.co/6bUq8tnt3f",sadness
130,"@T_FisherKing @DrJillStein She's loaded but how much did she donate to NoDAPL again? Oh right, just a photo op 😏 smh...",surprise
131,Tillerson consults w/ Kissinger. Great. Ready for Syrianam? #NoMoreWar #EndIsraeliAparthied  #NoKXL #NoDAPL #GreedyOilagarchParty #MtPol,fear
132,Felony Reckless Endangerment lockdown charges dismissed! Prosecution unprepared. #MniWiconi #NoDAPL #NotGuilty https://t.co/h5xaEYea8M https://t.co/ncm9s7wcFe,fear
133,Standing Rock Tribe's battle over Dakota Access pipeline not over - Indigenous - CBC #NoDAPL https://t.co/3ryFOHMHTh,fear
134,"Letter from TckTckTck (GCCA) to GCCA Partners - February 25th, 2010 https://t.co/rnHLi2obK3 #NoDAPL",fear
135,@rebirthofnation ending clean air and water protections? Pushing ahead #KeystoneXL and #NoDAPL,fear
136,@WellsFargo @Citibank @SunTrust are funding DAPL. Tell them to DIVEST today! #NODAPL via @lcvoters https://t.co/JkWKMmR2VS,fear
137,"Portland holds ▶️$70,000,000.00 in Well Fargo securities?!  Divest Now! @tedwheeler #NoDAPL",fear
138,"Seriously, right through Minnesota's most precious wild rice beds and 1855 Treaty lands?!!
#friendsoftheheadwaters #NoDAPL #manoomin https://t.co/rqBpOBqNjk",fear
139,"""There's still very much a fight"" - the Cheyenne River Sioux are taking the #NoDAPL battle to court https://t.co/7tbSeuQRCr https://t.co/mAmfS6YAiV",fear
140,"The plaintiffs in our #NoDAPL case, Jumping Eagle v Trump, are primarily women. Help us continue the fight by... https://t.co/L4Ei6Bg58s",fear
141,"This Monday, @ChaseIronEyes will be speaking at @srjc at 12 PM. Hope to see you there! #NoDAPL https://t.co/EOmNio7blf",joy
142,"WATCH town hall at noon: 
""Indigenous #Resistance Can Stop #Pipelines"" 
https://t.co/GZ1aLmCeOU
#StopKM #NoDAPL #WaterIsLife
#bcpoli #NoKXL https://t.co/IVFxYG0QVZ",fear
143,"A Zombie Pipeline Worth Only 35 Jobs and a Pissed, Rich GOP by @SimonMoyaSmith 
#NoKXL #NoDAPL 
https://t.co/In0fLvhP5M via @IndianCountry",anger
144,Unravelling the Deception of a False Movement https://t.co/9BXZeLyBou #NoDAPL,fear
145,"Chase Iron Eyes has pled not guilty to inciting a riot during #NoDAPL protests at #StandingRock.

https://t.co/vjrY5SNyJy",anger
146,"Dean Dedman of #NoDAPL is under FBI investigation for flying his drone near law enforcement helicopters.

https://t.co/qupKERS63n",fear
147,"An updated timeline of ""[n]otable events in the dispute over the Dakota Access oil pipeline"" #swk45 #noDAPL https://t.co/w4NKsXL6Dg",fear
148,"If you bank @WellsFargo and you care about clean water and/or sacred land, change banks! Let them know you won't be an accomplice #NoDAPL https://t.co/6cePPa9gUM",fear
149,"We belong to the earth, the earth doesn't belong to us. Learn it. Live it. #resist #UnitedWeStand #WeStandTogether #staywoke #NoDAPL #NoKXL https://t.co/aNwC3p5x4E",fear
150,"#Indigenous peoples principles: kindness, sharing, mutual responsibilities, respect, earth care #decolonize #NoDAPL https://t.co/CTVILrB4v5 https://t.co/rRqTrqqE6o",joy
151,@LoneMaimburg Kill the pipeline #NoDapl Freedom for #LeonardPeltier #NoKXL #Resist #TurtleMountain  ~In The Spirit of Crazy Horse https://t.co/KxKOGP5UBR,fear
152,Los Angeles Moves Toward Divesting from Wells Fargo in DAPL Protest. #LA #NoDAPL #DefundDAPL #Divest https://t.co/lgMMMQ2uab,fear
153,Trouble #1: “Killing the black snake – Behind the scenes of the #NODAPL struggle” https://t.co/0i301rpgQD,fear
154,@SenReneGarcia @RepMannyDiazJr perhaps it's time to get @NoDAPL to join the citizens. @nomoreblasting @PSNCivic  @RealJamesWoods,fear
155,"Cheryl Angel, Lakota elder and #NoDAPL, speaking on Earth2Trump Roadshow of Resistance. #WaterProtectors #WaterIsLife https://t.co/NWmYhihpKj",fear
156,"In Rubble of Cap-and-Trade, Big Green Taking a Beating https://t.co/xOuoQNL6Sj #NoDAPL",fear
157,🇺🇸💔✏️ *PLEASE SIGN; Resist Trump: Block KXL https://t.co/dSSHMYWnI6 #NoKXL @lindablackelk @StandingRockST @NoDAPL @Greenpeace @LeoDiCaprio,fear
158,"#NativeAmericanRights  #NoDAPL 

Native American activist, Russell Means, made this powerful statement about... https://t.co/SH90bVGtPx",fear
159,The Latest: Tribes: Oil flow isn't end of pipeline battle https://t.co/7mnPQtogK9 #NoDAPL #StandingRock #WaterIsLife,fear
160,"WATCH town hall at noon: 
""Indigenous #Resistance Can Stop #Pipelines"" 
https://t.co/GZ1aLmCeOU #StopKM #NoDAPL #WaterIsLife https://t.co/spCnqcn3Xq",fear
161,#Ponca Tribe Looks To Fight #KeystoneXL's Path Through Nebraska: https://t.co/hMIIP5FtVM #NoKXL via @Law360 #neleg #WaterIsLife #NoDAPL https://t.co/JRsFUphvAh,fear
162,.@realDonaldTrump #NoDAPL North Dakota pipeline spill very bad trump destruction of our water supply is disdainful  https://t.co/QlsyrLT5Mk,fear
163,Keystone XL Opponents See Opportunities To Fight On Under Trump https://t.co/53GQnOQB8y #NoDAPL #StandingRock #WaterIsLife,fear
164,Can u use ur phone to divest from Wells Fargo because they fund pipelines including Dakota Access? #NoDAPL #BankExit https://t.co/CVzduoFzh5 https://t.co/qJ9PgG7gW0,fear
165,"Yes please divest LA!!! #NoDAPL #DivestLA @ericgarcetti @davideryu 
https://t.co/YWm3yc9Cw9",fear
166,"North Dakota justifies eviction at Standing Rock to prevent ""environmental catastrophe"" https://t.co/qi80dHSp2g #NoDAPL",fear
167,It's Official: Oil Is Now Flowing Through the Dakota Access Pipeline https://t.co/5gW2JZY5Qw #NoDAPL #DakotaAccessPipeline https://t.co/Ja7Avw4wJu,fear
168,"""US Media’s Global Warming Denialism""
#GlobalWarming #ClimateChange #CdnPoli #USApoli ##Trump #KeystoneXL #NoDAPL
https://t.co/ZDxiJb7PS4",fear
169,.@nddemnpl are lost in the wilderness. Their candidate for 2016 House race is in court for inciting a riot at #nodapl site.,anger
170,The Dakota pipeline protesters crowdfunded for 5000 - They got 1 million dollar https://t.co/LLNpj9cmZ9 The Independent #nodapl,anger
171,raise awareness #standingrock #nodapl #dapl #nativevote16 #nativenationsrise #indigenouswomenrise #idlenomore #mmiw #HANs #humanrights,fear
172,2011 | The Big Green Race to Extinction https://t.co/xVP26YM9Ar #NoDAPL,fear
173,Dakota Access oil pipeline #DAPL still at least three weeks away from being fully operational. #NoDAPL https://t.co/eb1EQFBDm4,fear
174,Why not spend a few minutes w/the story from the other side of #NoDAPL ?  https://t.co/YnPk54A6d7,fear
175,Dakota elder Joe Williams Speaking in front of EPA #NativeNationsRise #standingrock #NoDAPL #epa https://t.co/Gfp7ngSu2K,fear
176,Footage of Joe Williams from Native Nations Rise March on EPA with Vehic... #NativeNationsRise #NoDAPL #standingrock https://t.co/1BMfDJqTtM,fear
177,Chile: Water is Life https://t.co/EFAgY6ka5e #NoDAPL #WaterIsLife #standingrock https://t.co/Eq2ChOL8AG,fear
178,"@MissyGee49 @DAPLFacts Yes and unicorns will deliver our groceries daily.
#NoDAPL #MniWiconi #WaterisLife",fear
179,Fact Check: Trump’s Misleading Words on Energy and Jobs https://t.co/LHzPJKsrQE #Solar #Wind #eco #Climate #jobs #DonTheCon #NoKXL #NoDaPL,fear
180,@RealTimBlack @amjoyshow What he Said was Wack.. But I agree with u.. Flint.. Police brutality.. NODAPL.. N Nothing From Nobody..,anger
181,"Westinghouse files for bankruptcy, in a blow to nuclear power industry https://t.co/g5KSSDP74q ... ROOM FOR ZERO SUM ENERGY YEAH!!!  #NoDapl",fear
182,Seattle City Council Could Go Further to Oppose Keystone XL Pipeline https://t.co/OOlrMVAe0a #NoDAPL #StandingRock #WaterIsLife,fear
183,Please support my friend &amp; Shero who is in court today for charges stemming from her arrest at Standing Rock #NoDAPL https://t.co/dRQZ2oLtMX,fear
184,The Dallaire Fairy Tale https://t.co/Y81L2rWMjT #NoDAPL,fear
185,Oil is now flowing through Dakota Access Pipeline https://t.co/6JfD6PvUsp #NoDAPL,fear
186,Tell the #Nebraska Public Service Commission—Reject @TransCanada's #KeystoneXL pipeline: https://t.co/ODpUX7nsQ8 #NoKXL #NoDAPL #WaterIsLife https://t.co/HIfCmDkJwU,fear
187,"What counts: Action, not just words!  My family members closed accounts w/Wells Fargo, put money N Credit Union. THAT'S patriotism #NoDAPL https://t.co/Nr8W3tN8Tu",fear
188,#StandingRock Tribe's battle over Dakota Access #pipeline not over » https://t.co/zYN1Zhg9K8 #NoDAPL,fear
189,Netizen Documentary: #NoDAPL : The RISE and FALL of Standing Rock Check it out and share. https://t.co/vjui1Pqq7r,fear
190,Sign To Help Al Franken Defend The NoDAPL Water Protectors! https://t.co/V3esmPpid7,fear
191,@ShaneKilling @justicedems @NomikiKonst I love Nomi too! I still dig @JordanChariton for all his work with #NoDAPL,sadness
192,"Standing Rock Tribe's battle over Dakota Access pipeline not over https://t.co/zSbjnBmxI9
#NoDAPL #waterislife",fear
193,Hundreds of buffalo are under quarantine after an illegal poison was used to kill prairie dogs https://t.co/XAqoqbjZNo #NoDAPL #StandingRo…,fear
194,RESISTANCE #burlesque benefitting #NoDAPL is TOMORROW 8pm @ParksideNYC ! Advanced ticket sales end at midnight! Tix: https://t.co/0jFJ486Oka,anger
195,Standing Rock Sioux Tribe Chairman Responds to Oil in DAPL https://t.co/PUVb1mu17y #NoDAPL #StandingRock #WaterIsLife,fear
196,#StandingRock Tribe's battle over #DakotaAccesspipeline not over https://t.co/3zIdLh49Ka #NoDAPL @MarkRuffalo,fear
