CourseNumber,Term,FacultyName,CourseName,Level,Description,Bonus Information,CourseDivision
MD3013,S26,"Letcher, Susan",Sheep to Shawl,M,"Sheep play profoundly important roles in human societies. This course is a human ecological exploration of sheep and wool, combined with a hands-on component in which we will work with sheep and learn fiber arts. This class will meet for one studio session and two lecture/discussion sections per week, plus at least one Saturday field trip. In the studio sessions, we will study sheep husbandry through visits to Peggy Rockefeller Farm, and learn a variety of techniques for working with wool, from the preparation (shearing, washing, and carding) to spinning and working with yarn (including knitting, crochet, and weaving). The lecture/discussion sessions will cover topics such as the ecological impacts of sheep in different parts of the world, the physics of spinning and the chemistry of dyes, and the symbolism of sheep in the mythology of different cultures. The course will draw on a wide range of material and intellectual approaches, with sheep and wool as the unifying theme. Students will be evaluated based on participation, short written assignments, and a final oral presentation. No prior knowledge of fiber craft is necessary, but students who come in knowing one of the basic techniques may be able to explore advanced techniques like lacework or design in three dimensions. Students should meet with the instructor before spring break to discuss goals and equipment needs for the studio sessions. Some basic supplies will be provided, but students should plan to purchase additional equipment such as knitting needles depending on the projects that they choose.Level: Intermediate. Prerequisites: Permission of instructor. Class limit: 10. Lab fee: $100. Meets the following degree requirements: None. ",,
MD4016,S26,"Hall, Sarah",Space and Time,M/A,"Drawing on geological and environmental science research practices as well as time based art, performance studies and movement training principles, this course explores some of the ways in which scientists and performing artists investigate space and time across different scales and distinct histories. Students will generate questions rooted in observation and analysis and consider what it means to map a story or locate an object or body, including oneself, in a given context (real or imagined). We will utilize existing datasets as well as make and record new observations, practicing visualization, embodiment and interpretation as well as intellectual, emotional and physical response. A large portion of the course involves working within boundaries and tight constructs as a means of thinking over vast and varied scales of time and space. Through this work, students will gain new understanding of the challenges and opportunities in communicating and making choices across disciplinary languages, symbology and structures. Students will engage with a variety of readings, datasets, film, video, physical training and fieldwork. Evaluation is based on active participation and demonstrated engagement with all course topics, a sequence of short projects, and a final synthesis. The course is enrolled by permission of instructor. Level: Intermediate/Advanced. Prerequisites: Priority will be given to students with previous Environmental Science course work (including collecting and analyzing data) and/or previous Performance or Movement Training course work. Class limit: 12. Lab fee: $50. Meets the following degree requirements: None.",,
ES3044,S26,"Hall, Sarah",Climate and Weather,M,"This class will explore general weather and climate patterns on global, regional, and local scales. We will discuss the major forcings driving global climate fluctuations - on both long (millions of years) and short (days) timescales, including natural and anthropogenic processes. We will also learn about basic meteorology and the processes producing some common spectacular optical weather phenomena (rainbows, coronas, cloud-types, etc). Students will complete a term project comprising a photo-documentary journal of the different weather phenomena they observe during the 10-week term. The field component of this course will be self-guided through the observation and documentation of weather phenomena. Who should take this course: No prior geology/science experience is needed - but expect to do a bit of basic math in this course! The course level is intermediate because it will not cover foundational principles of geology (or other sciences) but instead the course will be integrative and require students to practice both their quantitative and qualitative skills. Take this course if you are passionate or curious about climate change, but do not know much about the science of climate and weather!",,ES
MD1030,S26,"Graham, Carrie",Zoological Field Sketching,I,"The ability to make careful observations and record them through sketches is an invaluable tool for artists, scientists, and other curious and creative people. Maintaining a sketchbook can be both a professionally useful and personally rewarding practice. This multidisciplinary course will encourage students to develop a regular sketchbook practice using animals as the focus of study. It is intended for any student who wishes to improve their sketching and observational skills, gain an understanding of animal anatomy, and learn about local animal life. Students will draw from museum specimens, taxidermy mounts, and live animals using a variety of media and techniques suitable for field sketching. Class will take place in the Dorr Museum and at field sites within Acadia National Park and Hancock County.This course will meet for two three hour sessions per week. The first session will include a lesson about a particular animal taxon, followed by sketching exercises using museum specimens and mounts as references. In the second session, students will draw from live animals in the field. Students will also spend approximately nine hours per week outside of class on additional field sketching assignments, readings, and research.Evaluations will emphasize participation and student growth rather than artistic ability. Our focus will be on practice and learning to effectively record observations, not on creating polished illustrations. Prior experience with drawing is not required.Level: Introductory. Prerequisites: None. Class limit: 16. Lab fee: $70. Meets the following degree requirements: None.",,
ES3090,S26,"Gibson, David",Practicum in Sustainable Energy,M,"This is a hands-on, project-based class in which students will collaboratively plan for and participate in all aspects of renewable energy projects on College of the Atlantic's campus. Examples of projects include installation of a solar photovoltaic array, airsealing and insulating one of the college's buildings, or planning and installing a greenhouse heating system. Students will learn how to take a project from design through fruition while navigating the various phases of the project lifecycle including operation and maintenance. The course will begin with an overview of existing technology and an analysis of the current energy generation and consumption data for the project site(s). The class will then plan the project and present this plan to the community. As part of this planning process, students will learn about the economics of renewable energy systems, including return on investment (ROI), internal rate of return (IRR), and related quantities. Students who successfully complete this class will gain the skills necessary to conceptualize, plan for, finance, and implement renewable energy projects. Evaluation will be based on several short presentations, problem sets, and active and effective participation in all aspects of the project. Default grade is Credit/No Credit.Level: Intermediate. Pre-requisites: Physics and Mathematics of Sustainable Energy is strongly recommended. Class limit: 10. Lab Fee: $50 Meets the following degree requirements: none.",,
ES1099,S26,"Gadeken, Kara",Marine Biology,I,"This is a survey course that broadly covers the biology of organisms in various marine habitats (rocky shores, mud and sand, estuaries, open ocean, the poles, coral reefs, deep sea), and some policy and marine management and conservation issues. A large part of this course is focused on learning the natural history of the local marine flora and fauna of Mount Desert Island’s coastal habitats.Each week the course meets twice in class and once for laboratory work or field trips.Evaluations are based on the quality of participation in class, one in-class practical, several sets of essay questions, and a field notebook emphasizing natural history notes of local organisms. This class is intended as a broad introduction to the biology of life in the ocean for students in any year.Level: Introductory. Prerequisites: None. Class limit: 20. Lab fee: None. Meets the following degree requirements: ES.",,ES
ES4069,S26,"Gadeken, Kara",Experimental Marine Science Methods,M/A,"Contemporary marine science research relies on a rapidly developing world of aquatic technologies, yet there has also been a recent revolution in low-cost, DIY electronics and components. For experimentalists, there is immense value in having a broad knowledge of the assorted tools in your methodological “toolkit”. Often, the instrument to collect the data you need doesn’t exist or is unaffordable, in which case the best option may be to build it yourself. Learning how to operate, fix, or even construct instruments to answer a research question builds a strong and interconnected foundation of scientific skills, both concrete (programming, simple electronics, instrumentation, machining, and engineering) and cognitive (critical thinking, creative problem solving, cost-benefit analysis, forethought, resilience, and the “methods” part of the scientific method).In this course you will (1) practice the practical and cognitive skills that experimental marine scientists use to do research, and (2) learn how to design and construct custom aquatic instrumentation to answer a scientific question. The course will start with you constructing a simple aquatic sensor to build basic skills, move on to creating a lab setup designed to manipulate some aspect of the aquatic environment, and end with self-directed research projects devising and building an instrument to explore your own scientific question. Much of our class time will be spent in a collaborative learning setting similar to a research group. Throughout the course, we will explore the ways that creative custom instrumentation can push the boundaries of science and make high-quality research more accessible.This is a project-based course that is intended for STEM-motivated students. It would serve particularly well to bridge students into pursuing more advanced scientific research endeavors.This class is very much a group effort, and assessment will be based on active participation in class experiences as well as written assignments in the style of a technical report, short weekly reflections, and a presentation at an end-of-term symposium. In addition to class meetings, expect to spend a substantive amount of time outside of class working on your projects.Level: Intermediate/Advanced. Prerequisites: Introduction to Oceanography, Marine Biology or Intertidal Ecology. It is helpful but not required to have taken statistics, computing, data science, or experimental design courses. Class limit: 10. Lab fee: $80. Meets the following degree requirements: ES.",,ES
ES3076,S26,"Letcher, Susan",Restoration Ecology,M,"The Society for Ecological Restoration defines ecological restoration as “the process of assisting the recovery of an ecosystem that has been degraded, damaged, or destroyed.” In this era of widespread environmental degradation, restoration ecology provides an important set of methods for mitigating anthropogenic damage. However, the science of restoration is still in its early phases, and important theoretical and practical questions remain to be resolved. This class will critically examine the assumptions that underlie restoration planning, both in the ethical dimension and in the realm of scientific theory. We will consider the validity of conceptual models of ecological communities and ecosystems and the way that these models shape decision-making. We will survey the factors that must be taken into account during restoration and study best-practices approaches, with a focus on adaptive management. In the final project, groups of students will develop and present restoration plans for a local site. Students will be evaluated based on two essays, class participation, and the final project.Level: Intermediate. Prerequisites: Any of a number of courses including Biology: Form and Function, Trees and Shrubs, Ecology, Weed Ecology, or Landscape Architecture Design Studio. Class limit: 20. Lab fee: none. Meets the following degree requirements: ES",,ES
,S26,"Collum, Kourtney",_ no classes,,The instructor is not teaching any courses this term.,,
,S26,"Cox, Gray",SABBATICAL,,,,
HS2121,S26,"Donovan, Martha","Writing as Art, Craft, and Social Action",I/M,"We write to discover what awes us, what questions we most need to ask, what conversations we hope to join, what causes we are drawn to support, what convictions we want to voice, and what ways we can write the world anew. Writing is both an art and a social action that can change us and our audiences. That is the province of this course.We will read and analyze various forms of writing (genres) on a broad range of social and policy issues, such as the value of wonder, the importance of antiracist work, the need for accessibility policies on college campuses, and other issues. We will consider the craft, context, audience, purpose, and possibilities of these texts as guides for our own writing. We will focus on the possibilities of the written and spoken word; the power of our distinct and unique voices; the importance of taking risks in our thinking and writing; the messiness, urgency, and necessity of the writing process; and the value of intellectual inquiry and the seamless integration and documentation of researched material. Students will address current issues of pressing concern and personal relevance in their own writing in three different selected genres (e.g., reflective essay, commentary, letter to editor, Commencement speech, testimony, proposal, open letter, personal statement, etc.). Students will examine and develop strategies for writing with curiosity, clarity, complexity, creativity, courage, and compassion as they invite their audience to consider their ideas and invitations/calls to action. Students will write about issues that matter to them, ones of interest to a local (Mount Desert Island or home town), state (Maine or home state), and/or national audience.Classwork will include various analytical, generative, and collaborative exercises designed to help with matters of language, craft, technique, and rhetorical awareness. Students will write for a public audience and participate in active engagement with each other’s work.Authors (representing a range of genres and topics) will likely include Annie Dillard, Rachel Carson, Barry Lopez, David Whyte, Margaret Renkl, Toni Morrison, Martin Luther King Jr., Terry Tempest Williams, and others. Students will also select a longer text to read from a list of authors that may include Jonathan Safran Foer, Susan Cain, Felicia Rose Chavez, Claudia Rankine, and others.Students will be evaluated on class participation, written assignments, writing process, and presentations. Level: Introductory/Intermediate. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: W, HS.",,W HS
,S26,"Waldron, Karen",_ no classes,,The instructor is not teaching any courses this term.,,
,S26,"Van Vliet, Netta",SABBATICAL,,,,
HS4088,S26,"Turok, Katharine",Literature of Exile,M/A,"Displacement, disappearance, deportation, exile, and return in New Writing: how do storytellers relate, relive, and re-create displacement from war, emigration, anti-immigration discourses, voluntary or coerced exile, or racial, ethnic, and religious conflicts? What emotional truths do new novels, poems, short stories, and essays reflect—from anger to “otherness” to nostalgia to numbness—when the self and its homeland are separated? Are one or more homelands foundational to identity formation? How do fiction and nonfiction convey refugee experiences and their aftermath? Finally, how are migratory journeys of geography and selfhood accompanied by related trauma, impactful on different generations and changes in the social and political spectrum - and do they evolve as ""a disassembly of the heart and excavation of a new identity"" in recent writing?Readings include material by twenty-first-century writers from every continent, such as Chimamanda Ngozi Adichie, Claire G. Coleman, Daša Drndic, Isabella Hammad, Cristina Henríquez, Amitav Kumar, Kyun-sook Shin, Valeria Luiselli, Geovani Martins, Imbolo Mbue, Viet Thanh Nguyen, Julie Otsuka, Salman Rushdie, Pajtim Statovci, and Shahla Ujayli.Students will be assessed on engaged participation, two short papers, one presentation in any medium, and a final essay, story, poem, or play.Level: Intermediate/Advanced. Prerequisites: None. Class limit: 15. Lab fee: None. Meets the following degree requirements: HS",,HS
HS4118,S26,"Taneja, Palak",Coast and Shores: A Seminar in the Human Ecology of Places,M/A,"In recent scholarship on humans’ relationship with the sea, a rich and varied set of approaches has emerged, showing how this land-sea interface has been central to human stories, lives, and world-making. Using John Gillis’s innovative work in The Human Shore as a foundation, this course will explore the work of a wide range of scholars across many disciplines, such as history, geology, literature, indigenous studies, art, and marine science, etc., to examine the differences between a coast and a human shore. We will cover topics as diverse as the indigenous lives along the coasts over time, the geologic formation of coastlines, and the portrayal of coasts in Shakespeare. Thus, the course will interrogate the human experience of these spaces from a range of disciplinary and transdisciplinary perspectives. Visitors from the blue humanities and other areas will enrich the class with their work and perspectives, helping students think through both their work and how they do it. This course is appropriate for students interested in applying their interdisciplinary learning in a thematically framed, place-based way. They will hone their skills at examining how specific threads of scholarship contribute to a comprehensive understanding of how people live on and think about coasts and shores. Students will be evaluated on daily discussion skills, short assignments, a reading journal, and a final project.Level: Intermediate/Advanced. Prerequisites: None. Class limit: 15. Lab fee: $40. Meets the following degree requirements: HS.",,HS
HS1130,S26,"Taneja, Palak",College Seminar: Women in True Crime,I,"Commercialized in the 16th century through ballads and pamphlets, true crime has been around for a bit. Yet it is in the recent decade or so, with the proliferation of streaming services, social media, and the popularity of podcasts as a genre, that we see a rising interest among women both in the production and consumption of true crime. Statistics vary depending on the source, but the general consensus is that somewhere between 65-80% of the audience for true crime is women. What then is the root of this fascination? What role does gender play in it? And how do we wrap our minds around this phenomenon and the elements—violence, sensationalism, exploitation of victims—that come along with it? These are but some of the questions that we will delve into in this class.Using a genre-based approach, we will study and analyze women-centric true crime books, case files, articles, blogs, podcasts, and documentaries. Our focus will not only be on the content of these works, but also on the forces that shape the writing/composing process: that is, the purpose (awareness, entertainment, reporting, etc.), the intended audience (detectives, true crime enthusiasts, academics, etc.), and the like. For example, when we read I’ll Be Gone in the Dark by Michelle McNamara and watch the show by the same name, we will devote time to understanding and writing about the stylistic choices that might be particular to a genre, here a non-fiction book and documentary, respectively. Some other examples of works that we would look at are Crime Junkie by Ashley Flowers and Brit Prawat, and Gone Girls: The Long Island Serial Killer by Liz Garbus. The study of the form and peculiarities of these genres, along with the textbook, Understanding Rhetoric, will help us develop both the vocabulary and the skills to understand and work on our own writing process. This process will be honed further through writing assignments in various genres—in-class freewrites, newspaper reports, crime blogs, reading responses, paper, portfolio reflection letter, and a multimodal project—and a sustained practice of the art of peer-reviewing and revision. In short, you will critically read, think, and write about women in true crime with the end goal of developing skills that will serve you well outside the limits of our theme.Assessment will be based on writing assignments in various genres– in-class freewrites, newspaper reports, crime blogs, reading responses, paper, portfolio reflection letter, and a multimodal project–and a sustained practice of the art of peer-reviewing and revision. Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS, W.",,W HS
,S26,"Stabinsky, Doreen",_ no classes,,The instructor is not teaching any courses this term.,,
,S26,"Pena, Karla",_ no classes,,The instructor is not teaching any courses this term.,,
HS1129,S26,"Nguyen, Hien",Introduction to Political Economy,I,"This course introduces students to the study of political economy from a Marxist perspective. Unlike economics which focuses on various parts of the economy, whether at the micro- or macro- level, political economy focuses on the intertwining of power and money, or how politics affects the economic system and how the economy in turn shapes politics. As most of the world now lives with variants of the capitalist economic system, we will devote our time to study the structure of capitalism, its logics, as well as its contradictions and malfunctions. We will do so by engaging with Karl Marx’s original writings, which to this day still constitute one of the most fundamental and insightful critiques of the capitalist economic system. Marx’s Capital, Volume One will be both our guiding posts and a useful entry point for thinking about a wide range of issues, including labor and value, commodity fetishism and consumerism, capital accumulation and exploitation, and the ongoing violence of accumulation through dispossession, colonization, and other means.As Eric Wolf, the late anthropologist, has noted, “the social sciences constitute one long dialogue with the ghost of Marx” (Europe and the People without History, 1982). Rather than being Marx’s disciples, we strive to be his interlocutor. As such, in addition to selections from Marx’s key works, we also read current Marxian political economy scholarship that draws on, critiques, and pushes its boundaries This course is valuable for any students who are interested in politics, economics, international development, future study, food systems, climate justice, social changes, and any area of studies that grapple with capitalism in its transnational, racialized, and gendered dimensions. Upon completion, students will have developed practices of thinking critically and imaginatively about capitalism’s fundamental drives, uneven development, appetite for technological innovation, and tendency towards violent expansion. No previous knowledge is required, but students should be prepared to read complex, abstract texts. Students will be evaluated through bi-weekly reading reviews (approximately 3-5 pages of critical reflection based on assigned readings) and a final project.Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS.",,HS
HS5064,S26,"McKown, Jamie",Voting and Elections: Case Studies,A,"This course will be an in depth exploration of contemporary flashpoint issues involving the design, administration, and regulation of elections for public office in the United States. We will take up a series of case studies by examining their history, the stakeholders involved, and the pros and cons of the relevant alternative reform measures that have been proposed. Topics covered in a given term will vary based on changing external factors such as the timing of elections as well as student interests. Students enrolling in the class should expect to be contacted by the instructor prior to the start of the term to discuss areas of interest. Likely areas that may be covered include: campaign finance reform, gerrymandering, instant runoff voting, election technologies, voter suppression, alternative governmental models, the electoral college, party primaries, campaign communication regulation, government funding of elections, nationalization of election standards, etc.. This advanced seminar will emphasize collaborative work, discussion, and debate. We will ground our work as a group in tangible solutions that address existing problems in how elections are conducted in the United States. While the emphasis of the class will be on the US context, we will often draw on international case studies as comparative reference points to assist in evaluating possible policy alternatives. While familiarity with the US political system is not a requirement for this class, students should have completed some previous coursework in areas related to law, policy, government, or politics (domestic or international). Students will be evaluated based on their participation and engagement with class discussion, various short in-class presentations, short form individual response papers, and a longer form longer form project due at the end of the term.Level: Advanced. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS.",,HS
HS3032,S26,"McKown, Jamie",The Cold War: Early Years,M,"This course provides a broad historical overview of the early years of the “Cold War” period that shaped global politics generally and American foreign policy specifically. Beginning in the 1940’s and leading up to Richard Nixon's election in 1968 we will examine the diplomatic relationship between the United States and the Soviet Union and how this relationship has impacted state actors, economic policies, cultural production, and conceptions of identity. While there will be a heavy focus on traditional state-level diplomatic history, students will also explore a broad array of methodological approaches. Class sessions will include a mix of traditional lecture formats, class discussion, and outside presentations. An evening lab is scheduled in order to screen a variety of cultural artifacts from the various periods we will cover. The primary goal is to give students an intensive 10-week crash course into key events, concepts, figures, etc.. that defined the early decades of Cold War diplomacy. At the same time there is also time allocated for students to explore their own independent research interests. Given the far-reaching force of Cold War politics into everyday life, individuals with widely varying academic interests will find the course informative and productive. Evaluation will be based on a mix of class participation, individual research assignments, and exams. All students, regardless of their backgrounds, previous coursework, or interests are welcome. Level: Intermediate. Prerequisites: None. Class limit: 20. Lab fee: none. Meets the following degree requirements: HY HS",,HS HY
,S26,"Mahoney, Dan",_ no classes,,The instructor is not teaching any courses this term.,,
HS2020,S26,"Longsworth, Gordon",GIS I: Foundations & Applications,I/M,"Ever-rising numbers of people and their impact on the Earth's finite resources could lead to disaster, not only for wildlife and ecosystems but also for human populations. As researchers gather and publish more data, GIS becomes vital to graphically revealing the inter-relationships between human actions and environmental degradation. Much of what threatens the earth and its inhabitants is placed-based. Solutions require tools to help visualize these places and prescribe solutions. This is what GIS is about. Built on digital mapping, geography, databases, spatial analysis, and cartography, GIS works as a system to enable people to better work together using the best information possible. For these reasons, some level of competency is often expected for entry into many graduate programs and jobs, particularly in natural resources, planning and policy, and human studies. The flow of this course has two tracts, technical and applied. The course begins with training in the basics of the technology. Then, skills are applied to projects that address real-world issues. Project work composes the majority of course work and each student has the opportunity to develop their own project. Because GIS provides tools to help address many kinds of issues, GIS lends itself well to the theory of thinking globally and acting locally. Projects often utilize the extensive data library for the Acadia region developed by students since the lab was founded in 1988. The GIS Lab acts as a service provider to outside organizations and students can tap into the resources of a broad network of groups and individuals working towards a more sustainable future. Course evaluations are partially based on the on-time completion of exercises and problem sets. Most of the evaluation is based on critique of student independent final project work and related documentation.Level: Introductory/Intermediate. Pre-requisites: Basic computer literacy. Class Limit: 10. Lab Fee: $75. Meets the following degree requirements: HS.",,HS
