FacultyName,CourseName,CourseDivision,Level,Description,Bonus Information
"Hilliard , Richard ",Chemistry II,ES QR,Introductory,"This is the second half of a two-term sequence designed to help students describe and understand properties of materials. Topics include kinetics, equilibria, thermodynamics, electrochemistry, chemistry of the nucleus, and an introduction to organic chemistry, with a focus on applications in each case. The course meets for three hours of lecture/discussion and for three hours of lab each week. Students are strongly urged to take both terms of this course. Evaluations are based on problem sets, lab reports, and quizzes.Level: Introductory. Prerequisites: none. Class limit: 15. Lab fee: none. Meets the following degree requirements: ES, QR.",
"Capers, Colin",Cinematic Visions from Marginalized Peoples,AD,Introductory,"Production modes, market concerns, and privilege of access, in addition to the greater concerns of racism, sexism, classism and other social biases have all historically contributed to the predominance of a narrow range of cinematic voices being experienced by most audiences. But from the dawn of cinema there have been those working on the edges to realize visions that speak to many modes of otherness and to different manners of being, of belonging. In this class we will investigate a range of diverse moving image works and engage with texts that help contextualize and elucidate the works and the creative impulses/individuals behind them. The roster of movies viewed this term will be chosen collaboratively from a curated list by the group at the beginning of the term so as to most effectively engage with the particular interests of this configuration of students; choices include (but are not limited to) films and videos made by and about members of the following communities: LGBTQ+, neurodiversity, seniors, economically disadvantaged, homeless, people with disabilities, people of faith, Inuit, Roma, Sami, Maya, Palawan, Amhara, African diaspora, Indigenous peoples of the US and Australia. Focus will be primarily on narrative forms, but some works with experimental aspects may be featured. Potential filmmakers include: Samira Makhmalbaf, David Gulpilil, Cheryl Dunye, Tony Gatlif, Euzhan Palcy, Haile Gerima, Mati Diop, Derek Jarman. Students will be evaluated on their participation in class discussions and on two papers written over the course of the term. In these papers students will be asked to demonstrate a balance between research into a group of works of their choosing and exploration of their own aesthetic and emotional responses to these works.Level: Introductory. Prerequisites: none. Class limit: 16. Lab fee: $30. Meets the following degree requirements: AD",
"Hall, Sarah",Climate and Weather,ES,Intermediate,"This class will explore general weather and climate patterns on global, regional, and local scales. We will discuss the major forcings driving global climate fluctuations - on both long (millions of years) and short (days) timescales, including natural and anthropogenic processes. We will also learn about basic meteorology and the processes producing some common spectacular optical weather phenomena (rainbows, coronas, cloud-types, etc). Students will complete a term project comprising a photo-documentary journal of the different weather phenomena they observe during the 10-week term. The field component of this course will be self-guided through the observation and documentation of weather phenomena. Who should take this course: No prior geology/science experience is needed - but expect to do a bit of basic math in this course! The course level is intermediate because it will not cover foundational principles of geology (or other sciences) but instead the course will be integrative and require students to practice both their quantitative and qualitative skills. Take this course if you are passionate or curious about climate change, but do not know much about the science of climate and weather!",
"Little-Siebold, Todd",Coasts and Shores: A Seminar in the Human Ecology of Place,HS,Intermediate/Advanced,"In recent scholarship on humans’ relationship with the sea, a rich and varied set of approaches has emerged, showing how this land-sea interface has been central to human stories, lives, and world-making. Using John Gillis’s innovative work in The Human Shore as a foundation, this course will explore the work of a wide range of scholars across many disciplines, such as history, geology, literature, indigenous studies, art, and marine science, etc., to examine the differences between a coast and a human shore. We will cover topics as diverse as the indigenous lives along the coasts over time, the geologic formation of coastlines, and the portrayal of coasts in Shakespeare. Thus, the course will interrogate the human experience of these spaces from a range of disciplinary and transdisciplinary perspectives. Visitors from the blue humanities and other areas will enrich the class with their work and perspectives, helping students think through both their work and how they do it. This course is appropriate for students interested in applying their interdisciplinary learning in a thematically framed, place-based way. They will hone their skills at examining how specific threads of scholarship contribute to a comprehensive understanding of how people live on and think about coasts and shores. Students will be evaluated on daily discussion skills, short assignments, a reading journal, and a final project.Level: Intermediate/Advanced. Prerequisites: None. Class limit: 15. Lab fee: $40. Meets the following degree requirements: HS.",
"Taneja, Palak",Coasts and Shores: A Seminar in the Human Ecology of Place,HS,Intermediate/Advanced,"In recent scholarship on humans’ relationship with the sea, a rich and varied set of approaches has emerged, showing how this land-sea interface has been central to human stories, lives, and world-making. Using John Gillis’s innovative work in The Human Shore as a foundation, this course will explore the work of a wide range of scholars across many disciplines, such as history, geology, literature, indigenous studies, art, and marine science, etc., to examine the differences between a coast and a human shore. We will cover topics as diverse as the indigenous lives along the coasts over time, the geologic formation of coastlines, and the portrayal of coasts in Shakespeare. Thus, the course will interrogate the human experience of these spaces from a range of disciplinary and transdisciplinary perspectives. Visitors from the blue humanities and other areas will enrich the class with their work and perspectives, helping students think through both their work and how they do it. This course is appropriate for students interested in applying their interdisciplinary learning in a thematically framed, place-based way. They will hone their skills at examining how specific threads of scholarship contribute to a comprehensive understanding of how people live on and think about coasts and shores. Students will be evaluated on daily discussion skills, short assignments, a reading journal, and a final project.Level: Intermediate/Advanced. Prerequisites: None. Class limit: 15. Lab fee: $40. Meets the following degree requirements: HS.",
"Taneja, Palak",College Seminar: Women in True Crime,W HS,Introductory,"Commercialized in the 16th century through ballads and pamphlets, true crime has been around for a bit. Yet it is in the recent decade or so, with the proliferation of streaming services, social media, and the popularity of podcasts as a genre, that we see a rising interest among women both in the production and consumption of true crime. Statistics vary depending on the source, but the general consensus is that somewhere between 65-80% of the audience for true crime is women. What then is the root of this fascination? What role does gender play in it? And how do we wrap our minds around this phenomenon and the elements—violence, sensationalism, exploitation of victims—that come along with it? These are but some of the questions that we will delve into in this class.Using a genre-based approach, we will study and analyze women-centric true crime books, case files, articles, blogs, podcasts, and documentaries. Our focus will not only be on the content of these works, but also on the forces that shape the writing/composing process: that is, the purpose (awareness, entertainment, reporting, etc.), the intended audience (detectives, true crime enthusiasts, academics, etc.), and the like. For example, when we read I’ll Be Gone in the Dark by Michelle McNamara and watch the show by the same name, we will devote time to understanding and writing about the stylistic choices that might be particular to a genre, here a non-fiction book and documentary, respectively. Some other examples of works that we would look at are Crime Junkie by Ashley Flowers and Brit Prawat, and Gone Girls: The Long Island Serial Killer by Liz Garbus. The study of the form and peculiarities of these genres, along with the textbook, Understanding Rhetoric, will help us develop both the vocabulary and the skills to understand and work on our own writing process. This process will be honed further through writing assignments in various genres—in-class freewrites, newspaper reports, crime blogs, reading responses, paper, portfolio reflection letter, and a multimodal project—and a sustained practice of the art of peer-reviewing and revision. In short, you will critically read, think, and write about women in true crime with the end goal of developing skills that will serve you well outside the limits of our theme.Assessment will be based on writing assignments in various genres– in-class freewrites, newspaper reports, crime blogs, reading responses, paper, portfolio reflection letter, and a multimodal project–and a sustained practice of the art of peer-reviewing and revision. Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS, W.",
"Buchanan, Rebecca",Culturally Sustaining and Revitalizing Education,HS ED,Intermediate,"This course is designed for students planning to teach in schools whether in Maine or outside of the United States. Culturally sustaining/revitalizing education (CSRE) builds on the aims, values, insights, and practices of anti-racist education, culturally relevant pedagogy, culturally responsive teaching, culturally sustaining/revitalizing pedagogy, decolonizing education, global education, intercultural education, and multicultural education. In particular, it aims to contextualize education in the history of colonization, land theft, slavery, the continued struggle for sovereignty and self-determination of native tribes and First Nations, and calls for wider community accountability. This educational approach challenges deficit mindsets and structures that undergird policies and practices that widen the opportunity gap and equitable access to basic human and civil rights and impede educational access for sustaining and revitalizing cultures that settler colonialism has attempted to eliminate, assimilate, or marginalize. Students will practice asset-based and growth mindsets to gain an understanding of the relationship between CSRE and respect for tribal sovereignty and support of contemporary struggles for tribal continuity and resistance to cultural genocide and epistemicide. The course also opens a dialogue on the applicability of CRSE for immigrant, refugee, and asylum-seeking students whose relationship to their new place of residence may be tenuous at best and whose heritage languages and cultures are also endangered as a result of first- to second-generation assimilation in their adopted communities. Students will gain an understanding of conceptual frameworks, knowledge of empirical studies documenting outcomes and impacts of these approaches, and skills in ethically and effectively teaching indigenous, immigrant, and other culturally and linguistically diverse learners. For students seeking Maine teaching endorsements, this course will prepare them to implement LD291 requiring Maine educators to teach Wabanaki history and culture. Students will learn through field trips, guest speakers, films, discussions, critical exploration and reflection, independent research, observation/fieldwork/practicum, and peer teaching. Evaluation will include artifacts to be incorporated into a teaching portfolio: a lesson plan, teaching video, self-assessment, assessment of PK-12 student work, and communication with families and community members. Although there are no prerequisites, the following are recommended; Learning and/or proficiency in a language other than English; a psychology, sociology, or anthropology course; and/or a prior education course. Level: Intermediate. Prerequisite: None. Class limit: 15. Lab fee: $25. Meets the following degree requirements: ED, HS.",
"Slabach, Brittany",Curatorial Practice: Study Skins,ES,Introductory/Intermediate,"This course provides a deep dive into the practice and art of preparing museum study skins. Study skins are a traditional form of specimen preparation that preserves the skin and feathers of organisms for research purposes. Preparation techniques vary by taxon and research objective. In this course we will read about the history of study skins, how preparation techniques have evolved over time, and the role of study skins in our understanding of our natural world. A foundational component of the course is to learn how to prepare study skins. Therefore, we will establish a practice of preparing study skins weekly. Through this practice students will learn different techniques of preparation, as well as gain a strong foundation in anatomy related to different organisms and learn how to use appropriate anatomical language. The course meeting time is structured to support this weekly practice. While we will discuss preparation techniques for different taxons, iterative practice of techniques will depend on availability of organismal specimens and will be biased towards vertebrates, particularly mammals and aves. Assessments will include a reflection journal documenting each student’s preparatory journey; discussion and activity participation; and the completion of a series of study skins demonstrating improvement in technique over the course of the term. This course builds on concepts discussed in Collecting Nature, and other organismal courses. The course is particularly suitable for students who would like to pursue careers in organismal ecology, taxonomy, or museum studies, and would like study skin preparation to be a part of their skillset. It would also serve students who are interested in gaining an in-depth knowledge of organismal anatomy, or those who are interested in different preparation techniques.Level: Introductory/Intermediate. Prerequisites: ES1092: Collecting Nature: Exploration of Scientific Collection. Class limit: 8. Lab fee: $25. Meets the following degree requirements: ES.",
"Schultz, Eloise",Curriculum Design and Assessment,HS ED,Advanced,"Human ecologists who educate, embrace not only the interdisciplinarity of knowledge, but also the complexity of individual student development in political school environments. This course focuses on two essential nuts and bolts of teaching: curriculum design and assessment. How can a teacher learn what students know, how they think, and what they have learned? How can a teacher use this knowledge of students and subject matter to plan learning experiences that will engage diverse interests, adapt to a wide range of learning styles and preferences, accommodate exceptional needs, and meet state-mandated curriculum standards? This course is a required course for prospective secondary school teachers that provides an introduction to the backward design process and diverse assessment strategies. Students will engage in examining theory and practice designing and implementing curricula and assessments. A service-learning component will provide students with the opportunity to observe and participate in a variety of assessment methods in the subject they aim to teach. The final project will be a collaboratively designed, integrated curriculum unit, including lesson plans and assessments. Evaluation will be based on participation, reflective writing, individually designed lesson plans and assessments, and the final project.Level: Advanced. Prerequisite: Supporting Students with Disabilities in the Regular Classroom. Class Limit: 12. Lab Fee: None. Meets the following degree requirements: HS ED",
"Clinger, Catherine",Drawing Mineral and Botanical Matter in the Forest of Maine,ADS,Introductory/Intermediate,"Viewed as a regular practice, the descriptive power of drawing can intensify the experience of observational fieldwork, provide the draughtsperson with a richer understanding of the cycles within a landscape, and deepen our relationship with the natural world. The primary setting for this studio course is Mount Desert Island. The subject matter of our visual attention includes trees, rock features, and other indigenous plant life of the island. Students will learn a variety of drawing methods in order to document the natural history of a specific place. Coursework includes: maintaining a field sketchbook, graphically recording the development of a singular botanical life-form over the course of the term, and producing visual notations in the sketchbook during a bi-weekly slide lecture on the history of artistic representations of the natural world. Evaluation is based on class participation, evidence of completion of weekly assignments, and final project.",
"Anderson, John",Ecology,ES,Intermediate,"This course examines ecology in the classic sense: the study of the causes and consequences of the distribution and abundance of organisms. We examine the assumptions and predictions of general models of predator-prey interactions, inter- and intra-species competition, island biogeography, and resource use, and compare these models to the results of experimental tests in lab and field. In addition we discuss appropriate techniques used by ecologists in collecting data in the field, note-taking and the appropriate collation and storage of field data. Although this course is NOT a course in Conservation Biology, we examine how ecological principles are applied to conservation questions. Readings include selections from the primary literature. Students are evaluated on the basis of class participation and two in depth problem sets,drawing extensively on the primary literature.Level: Intermediate. Prerequisites: Biology: Form and Function. Class limit: 12. Lab fee $75. Meets the following degree requirements: ES",
"Gadeken, Kara",Experimental Marine Science Methods,ES,Intermediate/Advanced,"Contemporary marine science research relies on a rapidly developing world of aquatic technologies, yet there has also been a recent revolution in low-cost, DIY electronics and components. For experimentalists, there is immense value in having a broad knowledge of the assorted tools in your methodological “toolkit”. Often, the instrument to collect the data you need doesn’t exist or is unaffordable, in which case the best option may be to build it yourself. Learning how to operate, fix, or even construct instruments to answer a research question builds a strong and interconnected foundation of scientific skills, both concrete (programming, simple electronics, instrumentation, machining, and engineering) and cognitive (critical thinking, creative problem solving, cost-benefit analysis, forethought, resilience, and the “methods” part of the scientific method).In this course you will (1) practice the practical and cognitive skills that experimental marine scientists use to do research, and (2) learn how to design and construct custom aquatic instrumentation to answer a scientific question. The course will start with you constructing a simple aquatic sensor to build basic skills, move on to creating a lab setup designed to manipulate some aspect of the aquatic environment, and end with self-directed research projects devising and building an instrument to explore your own scientific question. Much of our class time will be spent in a collaborative learning setting similar to a research group. Throughout the course, we will explore the ways that creative custom instrumentation can push the boundaries of science and make high-quality research more accessible.This is a project-based course that is intended for STEM-motivated students. It would serve particularly well to bridge students into pursuing more advanced scientific research endeavors.This class is very much a group effort, and assessment will be based on active participation in class experiences as well as written assignments in the style of a technical report, short weekly reflections, and a presentation at an end-of-term symposium. In addition to class meetings, expect to spend a substantive amount of time outside of class working on your projects.Level: Intermediate/Advanced. Prerequisites: Introduction to Oceanography, Marine Biology or Intertidal Ecology. It is helpful but not required to have taken statistics, computing, data science, or experimental design courses. Class limit: 10. Lab fee: $80. Meets the following degree requirements: ES.",
"Sebastian, Neeraj",Fundamentals of Painting,ADS,Introductory,"In this course, students will be introduced to the basic aspects involved in the process of translating what they are observing in space onto two-dimensional surfaces in oil paint. Students will be introduced to the basics of color theory, mixing and matching colors, and also explore how color can change depending on context. Through the assignments we will investigate how form, volume, space and light can be captured in paint. Students will learn how to build their own frames and stretch and prepare canvases for painting and develop a studio practice, which includes cleaning and maintenance of brushes, the palette and other tools. A broad range of ideas and concerns in painting throughout history, from various parts of the world will be introduced in the class. In the last part of the term, different aspects of composition will be discussed: the way colors and shapes can work together to create an integrated image. Assignments will include quick paintings as well as paintings that are made over the course of multiple class sessions. The assignments over the course of the term will build students’ confidence in translating what’s in front of them, which makes the task of taking on the images in their heads, the images they are interested in, less daunting.Students will learn how to look at and analyze their peers’ work and provide them with constructive feedback during critiques. Previous drawing experience at high school or college level is strongly recommended. Evaluation will be based on how the specific criteria set for each assignment are met, participation and engagement during critiques, and receptivity to feedback.Level: Introductory. Prerequisite: None, but previous drawing experience at high school or college level is strongly recommended. Class limit: 12. Lab fee: $120. Meets the following degree requirements: ADS.",
"Morse, Suzanne",Gardens and Greenhouses:Theory/Practice of Organic Gardening,ES,Introductory,"This class offers a good foundation of knowledge for a gardener to begin the process of organic gardening, as well as an understanding of what defines organic gardening. The information presented focuses on soil fertility and stewardship, the ecology of garden plants, soil and insects, and practical management of the above. The garden is presented as a system of dynamic interactions. Emphasis is given to vegetable crops and soil fertility. Laboratories include soil analysis, tree pruning, seedling establishment, weed and insect identification, garden design, covercropping, composting, and reclamation of comfrey infested area. Evaluations are based on participation in class and lab, written class work, exam, and final individual garden design.Level: Introductory. Pre-requisite: Permission of the Instructor. Class limit: 15. Lab fee: $25. Meets the following degree requirements: ES",
"Longsworth, Gordon",Geographic Information Systems I: Foundations & Applications,HS,Introductory/Intermediate,"Ever-rising numbers of people and their impact on the Earth's finite resources could lead to disaster, not only for wildlife and ecosystems but also for human populations. As researchers gather and publish more data, GIS becomes vital to graphically revealing the inter-relationships between human actions and environmental degradation. Much of what threatens the earth and its inhabitants is placed-based. Solutions require tools to help visualize these places and prescribe solutions. This is what GIS is about. Built on digital mapping, geography, databases, spatial analysis, and cartography, GIS works as a system to enable people to better work together using the best information possible. For these reasons, some level of competency is often expected for entry into many graduate programs and jobs, particularly in natural resources, planning and policy, and human studies. The flow of this course has two tracts, technical and applied. The course begins with training in the basics of the technology. Then, skills are applied to projects that address real-world issues. Project work composes the majority of course work and each student has the opportunity to develop their own project. Because GIS provides tools to help address many kinds of issues, GIS lends itself well to the theory of thinking globally and acting locally. Projects often utilize the extensive data library for the Acadia region developed by students since the lab was founded in 1988. The GIS Lab acts as a service provider to outside organizations and students can tap into the resources of a broad network of groups and individuals working towards a more sustainable future. Course evaluations are partially based on the on-time completion of exercises and problem sets. Most of the evaluation is based on critique of student independent final project work and related documentation.Level: Introductory/Intermediate. Pre-requisites: Basic computer literacy. Class Limit: 10. Lab Fee: $75. Meets the following degree requirements: HS.",
"Ialeggio, Anna",Growth & Decay: Ecological Sculpture,ADS,Introductory,"How might a sculpture decay or grow, becoming an active part of its environment? How might biomimicry offer us tactics for surprising or outsmarting ourselves? What could it mean to make an artwork in an “erosive” or “sedimentary” way? What creative possibilities can follow an unforeseen or catastrophic change? This sculpture course takes its cues from the many processes occurring spontaneously in the natural world: growth, decay, metamorphosis, erosion, accretion, collapse, drift, and more. We will work in tandem with natural processes as both practical and conceptual methodologies. A series of individual and collaborative projects will prompt experiments in eco-sculptural production which engage our own lived experiences of the natural world with criticality and emotion. Expect to encounter familiar materials (wood, textiles, clay) as well as some that may be new (plant matter, paper pulp, recycled and discarded objects, etc). Ideally, this class will collectively make a sculptural contribution to the campus, addressing ecological themes and issues particular to our bioregion and community.Evaluation is based on participation in class activities (exercises, presentations, readings, discussions, occasional writing and/or drawing prompts), significant studio time outside of class, timely completion of all projects with corresponding group critique sessions, and consistent involvement with studio maintenance. A sketchbook is required.Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: $100. Meets the following degree requirements: ADS.",
