Name,Meetings
Introduction to Philosophy of Mind,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Introduction to Photography,"[{""days"": ""TF"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Introductory Entomology,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""},{""days"": ""T"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Jazz Ensemble,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Marine Mammal Biology I,"[{""days"": ""R"", ""start"": ""13:00:00"", ""end"": ""16:00:00""},{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Marx and Marxisms,"[{""days"": ""R"", ""start"": ""18:00:00"", ""end"": ""20:00:00""},{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Movement Training Basics Section A,"[{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""12:00:00""},{""days"": ""T"", ""start"": ""18:00:00"", ""end"": ""21:00:00""}]"
Movement Training Basics Section B,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""16:00:00""},{""days"": ""T"", ""start"": ""18:00:00"", ""end"": ""21:00:00""}]"
Music for Narrative Media,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
"Nature, Humans, and Philosophy","[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
"Navigation: skills, tools, and the drivers of seafaring","[{""days"": ""MWR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Paddlesport Instructor and Leadership Course,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Physics and Math of Sustainable Energy Lab A,"[{""days"": ""F"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Physics and Math of Sustainable Energy Lab B,"[{""days"": ""F"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Physics and Mathematics of Sustainable Energy,"[{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Political Economies of Carbon,"[{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""16:00:00""},{""days"": ""MR"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Pushing the Boundaries of the Essay,"[{""days"": ""TF"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Shellac to Spotify: 100 Years of Recorded Music,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Solutions,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Spanish: Advanced,"[{""days"": ""MTRF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""},{""days"": ""W"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Spanish: Beginning II,"[{""days"": ""MTWRF"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Spanish: Immersive Beginning I,"[{""days"": ""MTWRF"", ""start"": ""07:25:00"", ""end"": ""08:50:00""},{""days"": ""MTWRF"", ""start"": ""07:25:00"", ""end"": ""08:50:00""}]"
Special Topics in the Biology and Politics of Seeds,"[{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
Strategies for Social Change,"[{""days"": ""TF"", ""start"": ""16:10:00"", ""end"": ""17:35:00""}]"
Student Teaching Internship,"[{""days"": ""N\A"", ""start"": ""00:00:00"", ""end"": ""00:00:00""}]"
Studio Printmaking,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
The Empire Writes Back,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
The Price of Knowledge: Economics of Education,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Trees and Shrubs of Mount Desert Island,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Tutorial: Human Anatomy and Physiology,"[{""days"": ""W"", ""start"": ""08:30:00"", ""end"": ""11:30:00""},{""days"": ""T"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Vertebrate Zoology,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Working the Sea,"[{""days"": ""MR"", ""start"": ""16:10:00"", ""end"": ""17:35:00""},{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Writing Goes Wild: Environmental Adventures and Impacts,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Your Turn: Critical/Creative Inquiries in Board Game Media,"[{""days"": ""TF"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
